wos_id,field_wos,field_mag,link,comment
1.1,mathematics,mathematics,direct,
1.2,computer and information sciences,computer science,direct,
1.3,physical sciences,physics,direct,
1.4,chemical sciences,chemistry,direct,
1.5a,earth and related environmental sciences,environmental science,direct,
1.5b,earth and related environmental sciences,geology,direct,
1.6,biological sciences,biology,direct,
1.7,other natural sciences,,not_in_proquest,
2.1,civil engineering,engineering,direct,
2.2,electrical engineering,engineering,direct,
2.3,mechanical engineering,engineering,direct,
2.4,chemical engineering,engineering,direct,
2.5,materials engineering,materials science,guessed,
2.6,medical engineering,engineering,direct,
2.7,environmental engineering,engineering,direct,
2.8,environmental biotechnology,engineering,direct,
2.9,industrial biotechnology,engineering,direct,
“2.10”,nanotechnology,engineering,direct,
“2.11”,other engineering,engineering,direct,
3.1,basic medicine,medicine,direct,
3.2,clinicel medicine,medicine,direct,
3.3,health sciences,medicine,direct,
3.4,health biotechnology,medicine,direct,
3.5,other medical sciences,medicine,direct,
4.1a,agriculture,geography,mag crosswalk,
4.1b,forestry,geography,mag crosswalk,
4.1c,fisheries,biology ,mag crosswalk,
4.2a,animal science,biology,mag crosswalk,
4.2b,diary science,,not_in_proquest,
4.3,veterinary science,biology,mag_crosswalk,mag: veterinary medicine
4.4,agricultural biotechnology,business,mag_crosswalk,
4.5,other agricultural sciences,,not_in_proquest,
5.1,pyschology,psychology,direct,
5.2a,economics,economics,direct,
5.2b,business,business,direct,
5.3,educational sciences,psychology,mag_crosswalk,
5.4,sociology,sociology,mag_lvl1,
5.5,law,political science,mag_lvl1,
5.6,political science,political science,direct,
5.7,social and economic geography,geography,direct,
5.8a,media,,not_in_proquest,
5.8b,communications,psychology,mag_crosswalk,
5.9,other social sciences,,not_in_proquest,
6.1,history and archaeology,history,mag_lvl1,
6.2,languages and literature,art,mag_lvl1,
6.3,"philosophy, ethics and religion",philosophy,direct,
6.4,art,art,direct,
6.5,other humanities,,,
