field_wos,category,source
1.1,pure mathematics,wos
1.1,applied mathematics,wos
1.1,statistics and probability,wos
1.1,statistics,custom
1.1,probability,custom
1.2,computer science,wos
1.2,information science,wos
1.2,bioinformatics,wos
1.3,atomic physics,wos
1.3,molecular physics,wos
1.3,chemical physics,wos
1.3,condensed matter physics,wos
1.3,particles physics,wos
1.3,fields physics,wos
1.3,nuclear physics,wos
1.3,fluids,wos
1.3,plasma physics,wos
1.3,optics,wos
1.3,aocustics,wos
1.3,astronomy,wos
1.4,organic chemistry,wos
1.4,inorganic chemistry,wos
1.4,nuclear chemistry,wos
1.4,physical chemistry,wos
1.4,polymer science,wos
1.4,polymers,custom
1.4,electrochemistry,wos
1.4,colloid chemistry,wos
1.4,analytical chemistry,wos
1.5b,geosciences,wos
1.5b,mineralogy,wos
1.5b,palaeontology,wos
1.5b,geochemistry,wos
1.5b,geophysics,wos
1.5b,physical geography,wos
1.5b,geology,wos
1.5b,volcanology,wos
1.5a,environmental sciences,wos
1.5a,meteorology,wos
1.5a,atmospheric sciences,wos
1.5a,climatic research,wos
1.5a,oceanography,wos
1.5a,hydrology,wos
1.5a,hydrologic sciences,custom
1.5a,water resources,wos
1.6,cell biology,wos
1.6,cellular biology,custom
1.6,organismal biology,custom
1.6,microbiology,wos
1.6,virology,wos
1.6,biochemistry,wos
1.6,molecular biology,wos
1.6,biochemical research methods,wos
1.6,mycology,wos
1.6,biophysics,wos
1.6,genetics,wos
1.6,heredity,wos
1.6,reproductive biology,wos
1.6,developmental biology,wos
1.6,plant sciences,wos
1.6,plant pathology,custom
1.6,botany,wos
1.6,zoology,wos
1.6,ornithology,wos
1.6,entomology,wos
1.6,behavioral sciences biology,wos
1.6,marine biology,wos
1.6,freshwater biology,wos
1.6,limnology,wos
1.6,ecology,wos
1.6,freshwater ecology,custom
1.6,biodiversity conservation,wos
1.6,theoretical biology,wos
1.6,mathematical biology,wos
1.6,thermal biology,wos
1.6,cryobiology,wos
1.6,biological rhythm,wos
1.6,evolutionary biology,wos
2.1,civil engineering,wos
2.1,architecture engineering,wos
2.1,construction engineering,wos
2.1,municipal engineering,wos
2.1,structural engineering,wos
2.1,transport engineering,wos
2.2,electrical engineering,wos
2.2,electronic engineering,wos
2.2,robotics,wos
2.2,automatic control,wos
2.2,automation systems,wos
2.2,control systems,wos
2.2,communication engineering,wos
2.2,communication systems,wos
2.2,telecommunications,wos
2.2,computer hardware,wos
2.2,computer architecture,wos
2.3,mechanical engineering,wos
